order_id,line_no,product_id,quantity,list_price,discount_amount,unit_price
O000024,4,P0005,1,26727.0,0.0,26727.0
O000025,1,P0018,1,73251.0,0.0,73251.0
O000025,2,P0068,1,1096.0,0.0,1096.0
O000025,3,P0055,1,24505.0,6126.25,18378.75
O000025,4,P0001,3,71818.0,0.0,71818.0
O000026,1,P0002,1,4422.0,0.0,4422.0
O000026,2,P0034,1,1724.0,0.0,1724.0
O000027,1,P0070,1,1118.0,111.8,1006.2
O000027,2,P0037,1,9916.0,1487.4,8428.6
O000027,3,P0071,1,1579.0,315.8,1263.2
O000027,4,P0043,3,2747.0,549.4,2197.6
O000028,1,P0089,1,12354.0,617.7,11736.3
O000028,2,P0079,2,650.0,0.0,650.0
O000028,3,P0094,1,3152.0,0.0,3152.0
O000029,1,P0074,1,65786.0,16446.5,49339.5
O000029,2,P0001,1,71818.0,14363.6,57454.4
O000029,3,P0061,1,55744.0,11148.8,44595.2
O000029,4,P0096,1,2631.0,0.0,2631.0
O000030,1,P0086,1,1905.0,476.25,1428.75
O000030,2,P0029,2,1848.0,277.2,1570.8
O000030,3,P0119,1,15371.0,3842.75,11528.25
O000030,4,P0079,1,650.0,0.0,650.0
O000030,5,P0098,1,1719.0,257.85,1461.15
O000031,1,P0023,2,3542.0,0.0,3542.0
O000031,2,P0082,1,19266.0,2889.9,16376.1
O000031,3,P0106,2,11168.0,2233.6,8934.4
O000031,4,P0110,1,1333.0,0.0,1333.0
O000032,1,P0036,1,68685.0,17171.25,51513.75
O000033,1,P0088,1,4772.0,1193.0,3579.0
O000034,1,P0072,1,14849.0,1484.9,13364.1
O000035,1,P0034,1,1724.0,431.0,1293.0
O000035,2,P0107,2,11972.0,598.6,11373.4
O000036,1,P0049,2,13599.0,2719.8,10879.2
O000036,2,P0047,1,14456.0,1445.6,13010.4
O000036,3,P0006,1,1703.0,340.6,1362.4
O000036,4,P0092,2,1619.0,0.0,1619.0
O000037,1,P0043,1,2747.0,686.75,2060.25
O000037,2,P0111,1,1507.0,301.4,1205.6
O000038,1,P0054,1,151.0,30.2,120.8
O000038,2,P0061,1,55744.0,0.0,55744.0
O000038,3,P0023,1,3542.0,177.1,3364.9
O000038,4,P0114,1,11162.0,0.0,11162.0
O000039,1,P0074,2,65786.0,0.0,65786.0
O000040,1,P0092,1,1619.0,0.0,1619.0
O000040,2,P0043,1,2747.0,549.4,2197.6
O000041,1,P0043,3,2747.0,0.0,2747.0
O000041,2,P0025,3,9332.0,933.2,8398.8
O000041,3,P0067,1,2163.0,0.0,2163.0
O000042,1,P0040,1,8368.0,1673.6,6694.4
O000043,1,P0084,1,33279.0,0.0,33279.0
O000043,2,P0048,1,21164.0,3174.6,17989.4
O000043,3,P0120,1,3461.0,0.0,3461.0
O000043,4,P0060,1,1117.0,0.0,1117.0
O000043,5,P0085,1,3342.0,668.4,2673.6
O000044,1,P0091,2,4351.0,1087.75,3263.25
O000044,2,P0027,1,12202.0,3050.5,9151.5
O000045,1,P0105,1,5260.0,0.0,5260.0
O000046,1,P0103,2,9427.0,0.0,9427.0
O000046,2,P0028,2,1432.0,71.6,1360.4
O000046,3,P0069,1,4733.0,1183.25,3549.75
O000047,1,P0091,1,4351.0,0.0,4351.0
O000047,2,P0116,2,8882.0,0.0,8882.0
O000047,3,P0057,1,1050.0,262.5,787.5
O000048,1,P0042,1,3764.0,188.2,3575.8
O000048,2,P0071,1,1579.0,0.0,1579.0
O000048,3,P0108,1,1571.0,0.0,1571.0
O000049,1,P0056,1,61408.0,0.0,61408.0
O000049,2,P0043,1,2747.0,412.05,2334.95
O000050,1,P0045,1,873.0,0.0,873.0
O000050,2,P0003,1,2217.0,221.7,1995.3
O000050,3,P0097,2,14550.0,0.0,14550.0
O000050,4,P0101,1,563.0,140.75,422.25
O000051,1,P0025,1,9332.0,0.0,9332.0
O000051,2,P0020,1,1902.0,475.5,1426.5
O000051,3,P0085,1,3342.0,501.3,2840.7
O000052,1,P0059,2,7335.0,1467.0,5868.0
O000052,2,P0013,1,5453.0,0.0,5453.0
O000052,3,P0096,1,2631.0,0.0,2631.0
O000052,4,P0071,1,1579.0,0.0,1579.0
O000052,5,P0015,1,1188.0,178.2,1009.8
O000053,1,P0001,2,71818.0,17954.5,53863.5
O000053,2,P0108,1,1571.0,157.1,1413.9
O000053,3,P0083,1,3339.0,166.95,3172.05
O000054,1,P0073,1,2802.0,280.2,2521.8
O000054,2,P0069,1,4733.0,236.65,4496.35
O000055,1,P0031,2,273.0,68.25,204.75
O000055,2,P0114,2,11162.0,558.1,10603.9
O000055,3,P0013,1,5453.0,272.65,5180.35
O000055,4,P0002,1,4422.0,0.0,4422.0
O000055,5,P0014,1,1427.0,142.7,1284.3
O000056,1,P0085,1,3342.0,167.1,3174.9
O000057,1,P0044,2,42878.0,0.0,42878.0
O000057,2,P0013,2,5453.0,817.95,4635.05
O000057,3,P0006,1,1703.0,425.75,1277.25
O000057,4,P0028,1,1432.0,0.0,1432.0
O000057,5,P0080,1,1759.0,351.8,1407.2
O000058,1,P0020,1,1902.0,0.0,1902.0
O000058,2,P0103,1,9427.0,471.35,8955.65
O000059,1,P0064,1,9646.0,1446.9,8199.1
O000060,1,P0101,1,563.0,84.45,478.55
O000060,2,P0053,1,4256.0,1064.0,3192.0
O000060,3,P0012,1,8277.0,2069.25,6207.75
O000061,1,P0022,2,13558.0,1355.8,12202.2
O000061,2,P0056,1,61408.0,0.0,61408.0
O000061,3,P0050,1,27362.0,2736.2,24625.8
O000061,4,P0106,2,11168.0,558.4,10609.6
O000061,5,P0082,1,19266.0,4816.5,14449.5
O000062,1,P0102,2,18580.0,3716.0,14864.0
O000062,2,P0081,1,5436.0,0.0,5436.0
O000062,3,P0088,1,4772.0,715.8,4056.2
O000062,4,P0100,1,17072.0,3414.4,13657.6
O000063,1,P0054,1,151.0,22.65,128.35
O000063,2,P0053,1,4256.0,0.0,4256.0
O000063,3,P0078,1,8785.0,2196.25,6588.75
O000063,4,P0039,1,8497.0,849.7,7647.3
O000064,1,P0016,1,1792.0,0.0,1792.0
O000064,2,P0028,1,1432.0,0.0,1432.0
O000065,1,P0113,1,14720.0,736.0,13984.0
O000065,2,P0115,2,1419.0,0.0,1419.0
O000065,3,P0051,1,2113.0,0.0,2113.0
O000065,4,P0040,1,8368.0,0.0,8368.0
O000065,5,P0064,1,9646.0,482.3,9163.7
O000066,1,P0086,2,1905.0,381.0,1524.0
O000066,2,P0049,1,13599.0,2039.85,11559.15
O000066,3,P0018,1,73251.0,7325.1,65925.9
O000066,4,P0119,1,15371.0,3074.2,12296.8
O000066,5,P0097,2,14550.0,0.0,14550.0
O000067,1,P0072,1,14849.0,1484.9,13364.1
O000068,1,P0018,1,73251.0,3662.55,69588.45
O000068,2,P0001,1,71818.0,0.0,71818.0
O000068,3,P0120,3,3461.0,0.0,3461.0
O000068,4,P0115,1,1419.0,141.9,1277.1
O000069,1,P0104,3,1443.0,288.6,1154.4
O000070,1,P0106,1,11168.0,0.0,11168.0
O000070,2,P0007,1,4806.0,0.0,4806.0
O000070,3,P0102,1,18580.0,0.0,18580.0
O000070,4,P0069,1,4733.0,0.0,4733.0
O000071,1,P0040,1,8368.0,1255.2,7112.8
O000071,2,P0115,2,1419.0,283.8,1135.2
O000071,3,P0061,1,55744.0,5574.4,50169.6
O000072,1,P0058,1,5583.0,837.45,4745.55
O000072,2,P0065,1,651.0,65.1,585.9
O000072,3,P0108,2,1571.0,392.75,1178.25
O000072,4,P0053,1,4256.0,851.2,3404.8
O000072,5,P0082,2,19266.0,1926.6,17339.4
O000073,1,P0058,1,5583.0,558.3,5024.7
O000073,2,P0099,1,81251.0,12187.65,69063.35
O000073,3,P0002,1,4422.0,221.1,4200.9
O000074,1,P0120,1,3461.0,0.0,3461.0
O000075,1,P0045,1,873.0,0.0,873.0
O000075,2,P0111,1,1507.0,301.4,1205.6
O000075,3,P0024,1,66.0,6.6,59.4
O000076,1,P0086,1,1905.0,190.5,1714.5
O000076,2,P0031,2,273.0,0.0,273.0
O000076,3,P0074,1,65786.0,3289.3,62496.7
O000076,4,P0056,1,61408.0,6140.8,55267.2
O000076,5,P0052,2,63069.0,12613.8,50455.2
O000077,1,P0099,1,81251.0,8125.1,73125.9
O000078,1,P0047,1,14456.0,0.0,14456.0
O000079,1,P0058,1,5583.0,0.0,5583.0
O000080,1,P0068,1,1096.0,54.8,1041.2
O000080,2,P0073,1,2802.0,0.0,2802.0
O000080,3,P0030,1,10734.0,0.0,10734.0
O000081,1,P0075,1,3860.0,772.0,3088.0
O000082,1,P0085,1,3342.0,0.0,3342.0
O000082,2,P0033,1,13346.0,3336.5,10009.5
O000082,3,P0010,1,7032.0,351.6,6680.4
O000083,1,P0057,2,1050.0,52.5,997.5
O000084,1,P0093,1,3180.0,318.0,2862.0
O000084,2,P0003,1,2217.0,0.0,2217.0
O000084,3,P0009,1,699.0,104.85,594.15
O000084,4,P0046,3,413.0,41.3,371.7
O000084,5,P0027,1,12202.0,0.0,12202.0
O000085,1,P0110,1,1333.0,333.25,999.75
O000086,1,P0068,1,1096.0,219.2,876.8
O000087,1,P0056,1,61408.0,12281.6,49126.4
O000087,2,P0100,1,17072.0,0.0,17072.0
O000087,3,P0094,1,3152.0,630.4,2521.6
O000087,4,P0093,1,3180.0,0.0,3180.0
O000087,5,P0050,1,27362.0,0.0,27362.0
O000088,1,P0063,1,8616.0,430.8,8185.2
O000088,2,P0099,1,81251.0,12187.65,69063.35
O000088,3,P0082,1,19266.0,0.0,19266.0
O000088,4,P0116,1,8882.0,0.0,8882.0
O000089,1,P0111,1,1507.0,301.4,1205.6
O000090,1,P0077,1,1721.0,86.05,1634.95
O000090,2,P0049,1,13599.0,679.95,12919.05
O000090,3,P0009,1,699.0,0.0,699.0
O000090,4,P0090,1,7615.0,380.75,7234.25
O000091,1,P0120,1,3461.0,692.2,2768.8
O000092,1,P0024,1,66.0,0.0,66.0
O000093,1,P0109,1,12274.0,0.0,12274.0
O000094,1,P0072,1,14849.0,0.0,14849.0
O000095,1,P0086,3,1905.0,0.0,1905.0
O000095,2,P0055,1,24505.0,3675.75,20829.25
O000096,1,P0040,1,8368.0,1255.2,7112.8
O000096,2,P0098,2,1719.0,0.0,1719.0
O000096,3,P0038,1,73655.0,0.0,73655.0
O000097,1,P0074,1,65786.0,0.0,65786.0
O000097,2,P0084,2,33279.0,0.0,33279.0
O000097,3,P0027,1,12202.0,0.0,12202.0
O000097,4,P0118,1,2927.0,0.0,2927.0
O000097,5,P0098,2,1719.0,343.8,1375.2
O000098,1,P0033,1,13346.0,2001.9,11344.1
O000098,2,P0101,1,563.0,112.6,450.4
O000099,1,P0036,1,68685.0,0.0,68685.0
O000099,2,P0103,1,9427.0,1414.05,8012.95
O000099,3,P0032,2,620.0,93.0,527.0
O000100,1,P0055,1,24505.0,0.0,24505.0
O000100,2,P0081,3,5436.0,0.0,5436.0
O000100,3,P0044,1,42878.0,0.0,42878.0
O000101,1,P0083,1,3339.0,333.9,3005.1
O000102,1,P0057,2,1050.0,105.0,945.0
O000102,2,P0079,2,650.0,32.5,617.5
O000102,3,P0088,1,4772.0,0.0,4772.0
O000102,4,P0022,1,13558.0,677.9,12880.1
O000102,5,P0089,1,12354.0,0.0,12354.0
O000103,1,P0069,1,4733.0,709.95,4023.05
O000104,1,P0023,1,3542.0,708.4,2833.6
O000104,2,P0116,1,8882.0,0.0,8882.0
O000104,3,P0013,1,5453.0,0.0,5453.0
O000104,4,P0033,2,13346.0,3336.5,10009.5
O000105,1,P0086,1,1905.0,95.25,1809.75
O000105,2,P0043,1,2747.0,0.0,2747.0
O000105,3,P0036,1,68685.0,6868.5,61816.5
O000106,1,P0033,1,13346.0,0.0,13346.0
O000106,2,P0084,1,33279.0,0.0,33279.0
O000106,3,P0012,1,8277.0,0.0,8277.0
O000106,4,P0073,2,2802.0,420.3,2381.7
O000107,1,P0085,2,3342.0,334.2,3007.8
O000107,2,P0015,2,1188.0,0.0,1188.0
O000107,3,P0112,1,4364.0,218.2,4145.8
O000107,4,P0032,2,620.0,124.0,496.0
O000107,5,P0117,2,1402.0,70.1,1331.9
O000108,1,P0031,1,273.0,68.25,204.75
O000108,2,P0037,1,9916.0,2479.0,7437.0
O000108,3,P0004,1,1954.0,488.5,1465.5
O000109,1,P0008,1,40335.0,10083.75,30251.25
O000109,2,P0016,1,1792.0,268.8,1523.2
O000109,3,P0025,1,9332.0,0.0,9332.0
O000109,4,P0009,1,699.0,174.75,524.25
O000110,1,P0008,2,40335.0,2016.75,38318.25
O000110,2,P0031,1,273.0,68.25,204.75
O000110,3,P0067,1,2163.0,540.75,1622.25
O000110,4,P0022,2,13558.0,0.0,13558.0
O000110,5,P0066,1,6476.0,1619.0,4857.0
O000111,1,P0062,1,4304.0,0.0,4304.0
O000111,2,P0033,1,13346.0,0.0,13346.0
O000111,3,P0024,1,66.0,3.3,62.7
O000111,4,P0066,2,6476.0,0.0,6476.0
O000112,1,P0085,1,3342.0,167.1,3174.9
O000112,2,P0116,1,8882.0,2220.5,6661.5
O000112,3,P0084,2,33279.0,0.0,33279.0
O000113,1,P0075,1,3860.0,0.0,3860.0
O000113,2,P0026,1,11042.0,2760.5,8281.5
O000113,3,P0009,1,699.0,174.75,524.25
O000114,1,P0107,1,11972.0,2993.0,8979.0
O000114,2,P0061,1,55744.0,8361.6,47382.4
O000115,1,P0031,2,273.0,0.0,273.0
O000115,2,P0106,1,11168.0,1116.8,10051.2
O000116,1,P0016,1,1792.0,0.0,1792.0
O000116,2,P0036,1,68685.0,0.0,68685.0
O000116,3,P0054,1,151.0,30.2,120.8
O000116,4,P0020,1,1902.0,475.5,1426.5
O000116,5,P0117,2,1402.0,140.2,1261.8
O000117,1,P0013,2,5453.0,0.0,5453.0
O000117,2,P0007,2,4806.0,0.0,4806.0
O000117,3,P0056,1,61408.0,0.0,61408.0
O000117,4,P0118,2,2927.0,585.4,2341.6
O000118,1,P0064,1,9646.0,1446.9,8199.1
O000118,2,P0085,2,3342.0,167.1,3174.9
O000119,1,P0083,1,3339.0,333.9,3005.1
O000119,2,P0031,1,273.0,0.0,273.0
O000119,3,P0053,1,4256.0,0.0,4256.0
O000120,1,P0060,2,1117.0,55.85,1061.15
O000120,2,P0042,3,3764.0,0.0,3764.0
O000121,1,P0095,1,1968.0,492.0,1476.0
O000121,2,P0091,2,4351.0,0.0,4351.0
O000121,3,P0047,3,14456.0,722.8,13733.2
O000122,1,P0061,1,55744.0,8361.6,47382.4
O000123,1,P0089,1,12354.0,1853.1,10500.9
O000123,2,P0003,1,2217.0,221.7,1995.3
O000123,3,P0087,2,14136.0,706.8,13429.2
O000123,4,P0100,1,17072.0,853.6,16218.4
O000124,1,P0006,1,1703.0,170.3,1532.7
O000124,2,P0026,1,11042.0,0.0,11042.0
O000124,3,P0115,2,1419.0,0.0,1419.0
O000124,4,P0002,1,4422.0,0.0,4422.0
O000124,5,P0077,1,1721.0,0.0,1721.0
O000125,1,P0043,1,2747.0,549.4,2197.6
O000125,2,P0010,1,7032.0,703.2,6328.8
O000125,3,P0067,1,2163.0,0.0,2163.0
O000125,4,P0045,1,873.0,87.3,785.7
O000126,1,P0044,1,42878.0,0.0,42878.0
O000126,2,P0065,2,651.0,130.2,520.8
O000126,3,P0063,1,8616.0,0.0,8616.0
O000127,1,P0102,1,18580.0,4645.0,13935.0
O000127,2,P0091,2,4351.0,217.55,4133.45
O000128,1,P0028,1,1432.0,143.2,1288.8
O000128,2,P0014,1,1427.0,214.05,1212.95
O000128,3,P0108,1,1571.0,0.0,1571.0
O000128,4,P0082,1,19266.0,0.0,19266.0
O000128,5,P0059,1,7335.0,733.5,6601.5
O000129,1,P0085,1,3342.0,0.0,3342.0
O000129,2,P0116,1,8882.0,1332.3,7549.7
O000129,3,P0034,2,1724.0,172.4,1551.6
O000130,1,P0042,1,3764.0,0.0,3764.0
O000131,1,P0112,1,4364.0,0.0,4364.0
O000131,2,P0047,1,14456.0,0.0,14456.0
O000131,3,P0088,1,4772.0,954.4,3817.6
O000131,4,P0092,1,1619.0,161.9,1457.1
O000131,5,P0061,2,55744.0,2787.2,52956.8
O000132,1,P0058,1,5583.0,0.0,5583.0
O000132,2,P0100,1,17072.0,4268.0,12804.0
O000132,3,P0119,1,15371.0,1537.1,13833.9
O000132,4,P0093,1,3180.0,0.0,3180.0
O000132,5,P0120,1,3461.0,0.0,3461.0
O000133,1,P0051,1,2113.0,0.0,2113.0
O000133,2,P0090,1,7615.0,0.0,7615.0
O000134,1,P0031,1,273.0,54.6,218.4
O000134,2,P0023,1,3542.0,531.3,3010.7
O000135,1,P0061,2,55744.0,13936.0,41808.0
O000135,2,P0029,1,1848.0,92.4,1755.6
O000135,3,P0024,1,66.0,0.0,66.0
O000135,4,P0078,1,8785.0,2196.25,6588.75
O000136,1,P0105,1,5260.0,789.0,4471.0
O000136,2,P0090,1,7615.0,1142.25,6472.75
O000136,3,P0020,1,1902.0,380.4,1521.6
O000136,4,P0110,1,1333.0,0.0,1333.0
O000137,1,P0030,2,10734.0,1073.4,9660.6
O000137,2,P0109,2,12274.0,1227.4,11046.6
O000137,3,P0041,1,1356.0,203.4,1152.6
O000138,1,P0097,1,14550.0,0.0,14550.0
O000138,2,P0117,3,1402.0,0.0,1402.0
O000138,3,P0032,2,620.0,62.0,558.0
O000138,4,P0105,1,5260.0,789.0,4471.0
O000138,5,P0118,1,2927.0,292.7,2634.3
O000139,1,P0109,2,12274.0,0.0,12274.0
O000139,2,P0041,2,1356.0,0.0,1356.0
O000140,1,P0094,1,3152.0,0.0,3152.0
O000140,2,P0044,1,42878.0,6431.7,36446.3
O000141,1,P0095,1,1968.0,393.6,1574.4
O000141,2,P0007,1,4806.0,1201.5,3604.5
O000141,3,P0026,3,11042.0,1104.2,9937.8
O000141,4,P0111,1,1507.0,376.75,1130.25
O000142,1,P0076,1,3599.0,719.8,2879.2
O000142,2,P0107,1,11972.0,598.6,11373.4
O000142,3,P0115,1,1419.0,212.85,1206.15
O000142,4,P0067,1,2163.0,0.0,2163.0
O000142,5,P0009,1,699.0,0.0,699.0
O000143,1,P0068,2,1096.0,164.4,931.6
O000143,2,P0038,1,73655.0,0.0,73655.0
O000144,1,P0120,1,3461.0,519.15,2941.85
O000145,1,P0086,2,1905.0,381.0,1524.0
O000146,1,P0112,1,4364.0,0.0,4364.0
O000147,1,P0066,2,6476.0,323.8,6152.2
O000147,2,P0060,1,1117.0,279.25,837.75
O000148,1,P0028,1,1432.0,0.0,1432.0
O000148,2,P0066,2,6476.0,0.0,6476.0
O000148,3,P0081,1,5436.0,271.8,5164.2
O000148,4,P0060,1,1117.0,55.85,1061.15
O000149,1,P0096,1,2631.0,131.55,2499.45
O000150,1,P0115,2,1419.0,283.8,1135.2
O000151,1,P0026,1,11042.0,2208.4,8833.6
O000151,2,P0030,1,10734.0,2146.8,8587.2
O000152,1,P0016,1,1792.0,448.0,1344.0
O000152,2,P0065,2,651.0,162.75,488.25
O000152,3,P0038,1,73655.0,7365.5,66289.5
O000153,1,P0046,1,413.0,0.0,413.0
O000154,1,P0083,2,3339.0,0.0,3339.0
O000154,2,P0020,1,1902.0,475.5,1426.5
O000154,3,P0060,1,1117.0,223.4,893.6
O000154,4,P0111,3,1507.0,150.7,1356.3
O000155,1,P0087,2,14136.0,706.8,13429.2
O000155,2,P0110,1,1333.0,0.0,1333.0
O000155,3,P0052,1,63069.0,12613.8,50455.2
O000156,1,P0057,1,1050.0,0.0,1050.0
O000156,2,P0064,1,9646.0,1446.9,8199.1
O000156,3,P0036,1,68685.0,17171.25,51513.75
O000156,4,P0047,1,14456.0,1445.6,13010.4
O000157,1,P0002,2,4422.0,0.0,4422.0
O000157,2,P0036,2,68685.0,13737.0,54948.0
O000157,3,P0115,1,1419.0,70.95,1348.05
O000157,4,P0043,1,2747.0,0.0,2747.0
O000157,5,P0037,1,9916.0,495.8,9420.2
O000158,1,P0119,2,15371.0,0.0,15371.0
O000158,2,P0012,1,8277.0,1655.4,6621.6
O000158,3,P0099,1,81251.0,0.0,81251.0
O000158,4,P0020,1,1902.0,190.2,1711.8
O000158,5,P0056,1,61408.0,0.0,61408.0
O000159,1,P0024,1,66.0,9.9,56.1
O000160,1,P0058,3,5583.0,0.0,5583.0
O000160,2,P0030,1,10734.0,0.0,10734.0
O000160,3,P0062,2,4304.0,0.0,4304.0
O000161,1,P0077,1,1721.0,344.2,1376.8
O000162,1,P0089,1,12354.0,0.0,12354.0
O000162,2,P0050,1,27362.0,0.0,27362.0
O000163,1,P0043,3,2747.0,0.0,2747.0
O000163,2,P0062,1,4304.0,860.8,3443.2
O000163,3,P0075,1,3860.0,193.0,3667.0
O000163,4,P0119,2,15371.0,0.0,15371.0
O000164,1,P0074,1,65786.0,6578.6,59207.4
O000164,2,P0110,2,1333.0,0.0,1333.0
O000165,1,P0117,1,1402.0,0.0,1402.0
O000165,2,P0038,1,73655.0,0.0,73655.0
O000165,3,P0076,1,3599.0,359.9,3239.1
O000165,4,P0065,2,651.0,130.2,520.8
O000166,1,P0028,1,1432.0,214.8,1217.2
O000166,2,P0009,1,699.0,139.8,559.2
O000166,3,P0084,2,33279.0,3327.9,29951.1
O000167,1,P0104,1,1443.0,0.0,1443.0
O000167,2,P0087,1,14136.0,2827.2,11308.8
O000168,1,P0109,2,12274.0,0.0,12274.0
O000169,1,P0024,1,66.0,0.0,66.0
O000169,2,P0018,2,73251.0,7325.1,65925.9
O000169,3,P0083,1,3339.0,0.0,3339.0
O000169,4,P0105,2,5260.0,263.0,4997.0
O000169,5,P0098,1,1719.0,85.95,1633.05
O000170,1,P0081,1,5436.0,1359.0,4077.0
O000171,1,P0030,2,10734.0,536.7,10197.3
O000171,2,P0084,2,33279.0,0.0,33279.0
O000171,3,P0060,1,1117.0,0.0,1117.0
O000171,4,P0062,1,4304.0,860.8,3443.2
O000172,1,P0048,3,21164.0,3174.6,17989.4
O000172,2,P0013,1,5453.0,0.0,5453.0
O000172,3,P0071,1,1579.0,0.0,1579.0
O000172,4,P0064,3,9646.0,0.0,9646.0
O000172,5,P0098,1,1719.0,171.9,1547.1
O000173,1,P0059,3,7335.0,1833.75,5501.25
O000173,2,P0016,1,1792.0,268.8,1523.2
O000174,1,P0039,3,8497.0,424.85,8072.15
O000174,2,P0038,1,73655.0,0.0,73655.0
O000175,1,P0086,1,1905.0,0.0,1905.0
O000175,2,P0015,3,1188.0,0.0,1188.0
O000176,1,P0066,1,6476.0,0.0,6476.0
O000177,1,P0075,1,3860.0,579.0,3281.0
O000177,2,P0113,1,14720.0,2944.0,11776.0
O000177,3,P0095,1,1968.0,0.0,1968.0
O000178,1,P0019,1,19838.0,0.0,19838.0
O000178,2,P0055,3,24505.0,4901.0,19604.0
O000178,3,P0047,1,14456.0,2891.2,11564.8
O000178,4,P0112,1,4364.0,654.6,3709.4
O000178,5,P0085,1,3342.0,501.3,2840.7
O000179,1,P0102,1,18580.0,0.0,18580.0
O000179,2,P0103,1,9427.0,1885.4,7541.6
O000179,3,P0016,1,1792.0,0.0,1792.0
O000179,4,P0021,1,967.0,48.35,918.65
O000179,5,P0040,1,8368.0,418.4,7949.6
O000180,1,P0076,1,3599.0,0.0,3599.0
O000180,2,P0050,1,27362.0,0.0,27362.0
O000180,3,P0055,1,24505.0,1225.25,23279.75
O000180,4,P0043,2,2747.0,0.0,2747.0
O000181,1,P0097,2,14550.0,3637.5,10912.5
O000181,2,P0040,1,8368.0,0.0,8368.0
O000181,3,P0010,1,7032.0,1406.4,5625.6
O000181,4,P0066,1,6476.0,0.0,6476.0
O000182,1,P0105,2,5260.0,526.0,4734.0
O000182,2,P0081,1,5436.0,815.4,4620.6
O000183,1,P0086,1,1905.0,476.25,1428.75
O000183,2,P0027,1,12202.0,3050.5,9151.5
O000184,1,P0047,1,14456.0,2168.4,12287.6
O000184,2,P0043,1,2747.0,549.4,2197.6
O000184,3,P0032,1,620.0,124.0,496.0
O000185,1,P0049,1,13599.0,3399.75,10199.25
